"long","lat","unique_squirrel_id","shift","date","age","primary_fur_color","activities","interaction","lat_long"
-73.9545438656122,40.7902168635009,"34I-AM-1012-04","AM",10122018,"Adult","Gray","foraging","indifferent","POINT (-73.9545438656122 40.7902168635009)"
-73.975836799137,40.7691593428471,"4E-PM-1008-05","PM",10082018,"Adult","Gray","foraging","indifferent","POINT (-73.975836799137 40.769159342847104)"
-73.97977158132,40.7706273151066,"4A-AM-1007-01","AM",10072018,"Adult","Gray","foraging","indifferent","POINT (-73.97977158132 40.7706273151066)"
-73.9763542780331,40.7736531303622,"9B-AM-1010-02","AM",10102018,"Juvenile","Gray","climbing","runs away","POINT (-73.9763542780331 40.773653130362206)"
-73.9745709109056,40.7672225695415,"3G-AM-1008-03","AM",10082018,"Adult","Gray","running","indifferent","POINT (-73.9745709109056 40.7672225695415)"
-73.9797425262459,40.7679120246352,"1B-AM-1012-02","AM",10122018,"Adult","Cinnamon","running","indifferent","POINT (-73.9797425262459 40.7679120246352)"
-73.9714952092767,40.7748063281815,"12E-AM-1017-02","AM",10172018,"Adult","Gray","running","indifferent","POINT (-73.9714952092767 40.7748063281815)"
-73.9682676237703,40.7772653590224,"15F-PM-1010-04","PM",10102018,"Adult","Gray","foraging","indifferent","POINT (-73.9682676237703 40.7772653590224)"
-73.955429970986,40.7978168629875,"40D-AM-1013-02","AM",10132018,"Adult","Gray","running","indifferent","POINT (-73.955429970986 40.7978168629875)"
-73.9802564685265,40.7681759098199,"2B-AM-1010-05","AM",10102018,"Adult","Gray","foraging","indifferent","POINT (-73.9802564685265 40.7681759098199)"
-73.9747959143543,40.7768078174366,"12A-AM-1008-01","AM",10082018,"Adult","Gray","climbing","indifferent","POINT (-73.9747959143543 40.7768078174366)"
-73.9795492724533,40.7709497471738,"4A-AM-1007-02","AM",10072018,"Adult","Gray","foraging","indifferent","POINT (-73.9795492724533 40.7709497471738)"
-73.9657480066074,40.7753465489231,"14I-PM-1018-04","PM",10182018,"Adult","Cinnamon","eating","approaches","POINT (-73.9657480066074 40.7753465489231)"
-73.9692472299565,40.7722592187215,"10H-PM-1007-01","PM",10072018,"Adult","Gray","climbing","indifferent","POINT (-73.9692472299565 40.7722592187215)"
-73.9765046109019,40.7736674124746,"8B-AM-1007-04","AM",10072018,"Adult","Gray","climbing","indifferent","POINT (-73.9765046109019 40.7736674124746)"
